blue,green,red,ndwi,brightness,label,source_file
0.0146564245,0.0,0.08960097,-0.99998885,0.034752466,0,GSL_2020_10.tif
0.052109614,0.0,0.09819749,-0.9999898,0.050102368,0,GSL_2020_10.tif
0.057875603,0.0054192916,0.112691276,-0.9082259,0.058662057,0,GSL_2020_10.tif
0.09028355,0.037188873,0.13070582,-0.5569943,0.086059414,0,GSL_2020_10.tif
0.007114305,0.0,0.0858455,-0.9999884,0.030986601,0,GSL_2020_10.tif
0.052856106,0.0,0.10773287,-0.99999076,0.05352966,0,GSL_2020_10.tif
0.034811646,0.0,0.100339286,-0.99999005,0.04505031,0,GSL_2020_10.tif
0.07017981,0.010122609,0.11342476,-0.83612716,0.06457573,0,GSL_2020_10.tif
0.05651133,0.005922162,0.108906455,-0.8968444,0.057113316,0,GSL_2020_10.tif
0.037282784,0.0,0.09508748,-0.9999895,0.044123422,0,GSL_2020_10.tif
0.050153296,0.0,0.09232956,-0.9999892,0.04749429,0,GSL_2020_10.tif
0.098700866,0.032988425,0.12513128,-0.5827374,0.08560685,0,GSL_2020_10.tif
0.19335061,0.1250433,0.18847558,-0.20232297,0.1689565,0,GSL_2020_10.tif
0.157133,0.07869048,0.15731688,-0.33315092,0.13104679,0,GSL_2020_10.tif
0.10616577,0.0423359,0.11961543,-0.4771745,0.08937237,0,GSL_2020_10.tif
0.045494173,0.0,0.060554724,-0.9999835,0.035349634,0,GSL_2020_10.tif
0.16763534,0.10667374,0.17492066,-0.24235809,0.14974324,0,GSL_2020_10.tif
0.09859791,0.052008763,0.1589599,-0.5069503,0.10318885,0,GSL_2020_10.tif
0.021246128,0.0,0.07469643,-0.99998665,0.031980854,0,GSL_2020_10.tif
0.019957857,0.015881518,0.0,0.999937,0.011946458,1,GSL_1986_09.tif
0.017797887,0.015085161,0.0,0.9999337,0.010961016,1,GSL_1986_09.tif
0.01901874,0.017132936,0.0,0.99994165,0.012050559,1,GSL_1986_09.tif
0.015637916,0.0048462898,0.0,0.99979377,0.0068280683,1,GSL_1986_09.tif
0.016717901,0.0025141025,0.0,0.9996024,0.006410668,1,GSL_1986_09.tif
0.018737005,0.0075766556,0.0,0.99986804,0.00877122,1,GSL_1986_09.tif
0.017046593,0.018839413,0.0,0.9999469,0.011962001,1,GSL_1986_09.tif
0.018267445,0.019977067,0.0,0.99994993,0.012748171,1,GSL_1986_09.tif
0.016483122,0.017360466,0.0,0.99994236,0.011281196,1,GSL_1986_09.tif
0.013196209,0.0138337435,0.0,0.9999277,0.009009984,1,GSL_1986_09.tif
0.019206563,0.020545892,0.0,0.9999513,0.013250818,1,GSL_1986_09.tif
0.021272622,0.017132936,0.0,0.99994165,0.012801853,1,GSL_1986_09.tif
0.02005177,0.016450344,0.0,0.9999392,0.012167372,1,GSL_1986_09.tif
0.016107475,0.024072615,0.0,0.99995846,0.013393364,1,GSL_1986_09.tif
0.024183886,0.031638004,0.0,0.99996847,0.018607296,1,GSL_1986_09.tif
0.021366533,0.021456014,0.0,0.9999534,0.014274183,1,GSL_1986_09.tif
0.019770034,0.008259247,0.0,0.9998789,0.009343094,1,GSL_1986_09.tif
0.021084798,0.019408239,0.0,0.99994844,0.0134976795,1,GSL_1986_09.tif
0.017891798,0.022479901,0.0,0.99995553,0.013457234,1,GSL_1986_09.tif
0.014698798,0.021911075,0.0,0.99995434,0.012203291,1,GSL_1986_09.tif
0.02038046,0.011672204,0.0,0.9999143,0.010684222,1,GSL_1986_09.tif
0.0194883,0.008145481,0.0,0.9998772,0.00921126,1,GSL_1986_09.tif
0.017844843,0.0074060075,0.0,0.999865,0.00841695,1,GSL_1986_09.tif
0.021554356,0.023617554,0.0,0.9999576,0.015057303,1,GSL_1986_09.tif
0.017328328,0.0047325245,0.0,0.99978876,0.0073536173,1,GSL_1986_09.tif
0.40515602,0.31781638,0.3723814,-0.079056956,0.36511794,0,GSL_1994_01.tif
0.4513288,0.35397056,0.36408612,-0.014087397,0.38979515,0,GSL_1994_01.tif
0.357034,0.21761003,0.19541536,0.053736683,0.25668645,0,GSL_1994_01.tif
0.3487497,0.21761003,0.19541536,0.053736683,0.25392503,0,GSL_1994_01.tif
0.24403863,0.13651282,0.15075909,-0.04959141,0.17710352,0,GSL_1994_01.tif
0.4311663,0.32720447,0.33975327,-0.018814962,0.36604133,0,GSL_1994_01.tif
0.35258728,0.27087587,0.29468223,-0.042093504,0.30604845,0,GSL_1994_01.tif
0.13421077,0.06520318,0.14564365,-0.38150957,0.1150192,0,GSL_1994_01.tif
0.12288077,0.04915685,0.12912223,-0.44853798,0.10038662,0,GSL_1994_01.tif
0.08730702,0.02705153,0.11847661,-0.62822527,0.07761172,0,GSL_1994_01.tif
0.47005984,0.30966005,0.2702803,0.06790298,0.35000005,0,GSL_1994_01.tif
0.27455652,0.13764471,0.14861614,-0.038326543,0.18693912,0,GSL_1994_01.tif
0.32962272,0.17779383,0.18511538,-0.020174554,0.23084398,0,GSL_1994_01.tif
0.32962272,0.17779383,0.17377849,0.011421063,0.22706501,0,GSL_1994_01.tif
0.31482065,0.17892572,0.18829525,-0.0255146,0.22734721,0,GSL_1994_01.tif
0.30921656,0.1549561,0.13603495,0.06502291,0.2000692,0,GSL_1994_01.tif
0.31220132,0.16627508,0.16022953,0.018515915,0.212902,0,GSL_1994_01.tif
0.37908486,0.21494675,0.19278851,0.054344527,0.26227337,0,GSL_1994_01.tif
0.40314585,0.21914142,0.19278851,0.063974105,0.27169192,0,GSL_1994_01.tif
0.4264759,0.24897029,0.18905564,0.13678302,0.28816727,0,GSL_1994_01.tif
0.28996775,0.1685056,0.17616339,-0.022217762,0.21154559,0,GSL_1994_01.tif
0.32596788,0.18678243,0.16776441,0.053640217,0.22683823,0,GSL_1994_01.tif
0.32596788,0.18678243,0.16776441,0.053640217,0.22683823,0,GSL_1994_01.tif
0.3102521,0.16734041,0.15214163,0.04757305,0.20991139,0,GSL_1994_01.tif
0.32858717,0.19410649,0.16458456,0.08230438,0.22909273,0,GSL_1994_01.tif
0.0075379927,0.029198155,0.016200904,0.2862827,0.017645685,1,GSL_2006_02.tif
0.007872204,0.029301956,0.012099034,0.41550952,0.016424399,1,GSL_2006_02.tif
0.0061565866,0.03251979,0.012627496,0.44059908,0.017101292,1,GSL_2006_02.tif
0.005265357,0.037346546,0.020831233,0.2838718,0.021147711,1,GSL_2006_02.tif
0.008072731,0.0377358,0.014212881,0.45280203,0.020007137,1,GSL_2006_02.tif
0.013865724,0.032675494,0.01587376,0.34606892,0.020804992,1,GSL_2006_02.tif
0.011994142,0.027693039,0.018163761,0.2078006,0.019283647,1,GSL_2006_02.tif
0.005710972,0.030184265,0.018868376,0.230684,0.018254537,1,GSL_2006_02.tif
0.00985519,0.03236409,0.022039145,0.189782,0.021419475,1,GSL_2006_02.tif
0.007604835,0.035296474,0.018969035,0.30087507,0.020623447,1,GSL_2006_02.tif
0.007716239,0.037502248,0.008525628,0.6295313,0.017914705,1,GSL_2006_02.tif
0.0064685172,0.03402491,0.010211672,0.5383033,0.0169017,1,GSL_2006_02.tif
0.0075379927,0.022191577,0.005279363,0.6156178,0.011669643,1,GSL_2006_02.tif
0.008540627,0.031170378,0.014615518,0.36156327,0.018108841,1,GSL_2006_02.tif
0.0027699135,0.035685726,0.0038198028,0.806599,0.014091813,1,GSL_2006_02.tif
0.013732039,0.037138943,0.0043734293,0.78927624,0.018414803,1,GSL_2006_02.tif
0.037572436,0.042848006,0.00895343,0.6543047,0.02979129,1,GSL_2006_02.tif
0.02447136,0.034232512,0.009658045,0.5598905,0.022787305,1,GSL_2006_02.tif
0.002992721,0.03501102,0.0008000221,0.95529324,0.012934587,1,GSL_2006_02.tif
0.0125734415,0.033246398,0.038698267,-0.07577759,0.028172703,1,GSL_2006_02.tif
0.07545865,0.037148256,0.030995142,0.09029523,0.047867347,1,GSL_2002_12.tif
0.07852692,0.037914254,0.030045493,0.115783915,0.04882889,1,GSL_2002_12.tif
0.07421829,0.04289325,0.03237645,0.13971971,0.04982933,1,GSL_2002_12.tif
0.073826596,0.04113145,0.030822478,0.14326987,0.04859351,1,GSL_2002_12.tif
0.0723251,0.034467258,0.031513132,0.0447721,0.046101827,1,GSL_2002_12.tif
0.077221274,0.039446253,0.033153437,0.08667708,0.04994032,1,GSL_2002_12.tif
0.07728656,0.039446253,0.03764269,0.023395555,0.051458497,1,GSL_2002_12.tif
0.07323906,0.04197405,0.0333261,0.114844844,0.04951307,1,GSL_2002_12.tif
0.073761314,0.043659247,0.025728902,0.25840273,0.047716487,1,GSL_2002_12.tif
0.074153006,0.039446253,0.033412434,0.08281423,0.0490039,1,GSL_2002_12.tif
0.07598091,0.036918458,0.032549113,0.062896706,0.048482824,1,GSL_2002_12.tif
0.07474055,0.03439066,0.028232524,0.09833477,0.04578791,1,GSL_2002_12.tif
0.07598091,0.038603652,0.02711021,0.17489868,0.04723159,1,GSL_2002_12.tif
0.07323906,0.038373854,0.026505888,0.18291971,0.0460396,1,GSL_2002_12.tif
0.074153006,0.036918458,0.03177213,0.07491934,0.04761453,1,GSL_2002_12.tif
0.07532809,0.037684456,0.032462783,0.074437685,0.048491776,1,GSL_2002_12.tif
0.07904918,0.03354806,0.028232524,0.086037554,0.04694326,1,GSL_2002_12.tif
0.07650317,0.035999257,0.031599466,0.06508594,0.048033964,1,GSL_2002_12.tif
0.06912627,0.043582648,0.032462783,0.14622468,0.048390567,1,GSL_2002_12.tif
0.06788591,0.043582648,0.0295275,0.19224358,0.04699869,1,GSL_2002_12.tif
0.073761314,0.03431406,0.029268505,0.07935312,0.045781296,1,GSL_2002_12.tif
0.07539337,0.03523326,0.035052735,0.002568382,0.048559785,1,GSL_2002_12.tif
0.07532809,0.041054852,0.030736146,0.14373058,0.049039695,1,GSL_2002_12.tif
0.07323906,0.046953045,0.02987283,0.22232085,0.050021645,1,GSL_2002_12.tif
0.07624204,0.04021225,0.0333261,0.093639,0.0499268,1,GSL_2002_12.tif
0.028712366,0.046145752,0.19348375,-0.61485493,0.08944729,1,GSL_2021_06.tif
0.024541028,0.042051584,0.19148193,-0.6398641,0.08602485,1,GSL_2021_06.tif
0.023239333,0.04668713,0.19245055,-0.60953516,0.087459005,1,GSL_2021_06.tif
0.025428547,0.05812373,0.19316088,-0.53738517,0.09223771,1,GSL_2021_06.tif
0.0232985,0.06621055,0.1936452,-0.4904034,0.09438475,1,GSL_2021_06.tif
0.027262751,0.049935393,0.19025502,-0.58419913,0.089151055,1,GSL_2021_06.tif
0.022144727,0.052642282,0.19099762,-0.5678658,0.088594876,1,GSL_2021_06.tif
0.023120997,0.06079678,0.19422635,-0.52320373,0.092714705,1,GSL_2021_06.tif
0.022381399,0.06573685,0.19325773,-0.49236703,0.09379199,1,GSL_2021_06.tif
0.021523463,0.06830839,0.19167566,-0.47451678,0.09383584,1,GSL_2021_06.tif
0.017884636,0.053555857,0.19170794,-0.56327724,0.08771614,1,GSL_2021_06.tif
0.01963009,0.05984937,0.19493668,-0.5301969,0.09147205,1,GSL_2021_06.tif
0.026937328,0.07260558,0.19680935,-0.4610112,0.09878409,1,GSL_2021_06.tif
0.02696691,0.08086158,0.20032868,-0.42486057,0.10271906,1,GSL_2021_06.tif
0.02927446,0.09355012,0.20078069,-0.36431864,0.107868426,1,GSL_2021_06.tif
0.021700967,0.060864452,0.1959053,-0.5259199,0.09282357,1,GSL_2021_06.tif
0.023683092,0.06374052,0.19477524,-0.5068712,0.09406629,1,GSL_2021_06.tif
0.026108976,0.07406053,0.19810085,-0.4557585,0.099423446,1,GSL_2021_06.tif
0.029037789,0.08820402,0.19903718,-0.38585263,0.105426334,1,GSL_2021_06.tif
0.02702608,0.09761045,0.19793941,-0.33946425,0.10752532,1,GSL_2021_06.tif
0.023387253,0.061845697,0.19768111,-0.5233944,0.09430469,1,GSL_2021_06.tif
0.022351814,0.06783469,0.1964219,-0.48659796,0.095536135,1,GSL_2021_06.tif
0.026316065,0.08475274,0.1984883,-0.40154898,0.103185706,1,GSL_2021_06.tif
0.026079392,0.09118159,0.19903718,-0.37163416,0.10543272,1,GSL_2021_06.tif
0.026020225,0.10336259,0.19890803,-0.31609133,0.10943028,1,GSL_2021_06.tif
0.7862519,0.7359109,0.7467473,-0.0073087756,0.7563033,0,GSL_1997_05.tif
0.8088874,0.7832855,0.76786244,0.009942991,0.7866785,0,GSL_1997_05.tif
0.8275146,0.7861595,0.7494517,0.023904355,0.7877086,0,GSL_1997_05.tif
0.76711386,0.70934963,0.72532016,-0.011131843,0.7339279,0,GSL_1997_05.tif
0.77139735,0.7115283,0.7296888,-0.012600814,0.73753816,0,GSL_1997_05.tif
0.73382866,0.69066864,0.67164826,0.013961778,0.6987152,0,GSL_1997_05.tif
0.8258641,0.77749115,0.7506479,0.017565962,0.78466773,0,GSL_1997_05.tif
0.80193174,0.76298213,0.7471114,0.010509773,0.770675,0,GSL_1997_05.tif
0.7475043,0.6861259,0.6987963,-0.00914881,0.7108088,0,GSL_1997_05.tif
0.77163315,0.71792525,0.7085737,0.006555592,0.73271066,0,GSL_1997_05.tif
0.73885876,0.69215196,0.68215376,0.007275088,0.70438814,0,GSL_1997_05.tif
0.7911248,0.75792944,0.75980127,-0.0012333038,0.7696185,0,GSL_1997_05.tif
0.8125814,0.7722994,0.7606854,0.0075760814,0.7818554,0,GSL_1997_05.tif
0.8125814,0.7722994,0.75023186,0.014493977,0.77837086,0,GSL_1997_05.tif
0.7950546,0.7664124,0.76505405,0.00088694686,0.77550703,0,GSL_1997_05.tif
0.6937449,0.65868384,0.6715442,-0.009667777,0.67465764,0,GSL_1997_05.tif
